name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
Electro,Villain,Steel,10867.0,645.0,711.0,36.0,Black,0.0,Brown,2990.0,Anime,Giant,Saviors,874.0,Giant,370.0,825.0,Flying,6671.0,Grass blade,11000.0,0.72
Leland Owlsley,VIllain,Scaly,8168.0,115.0,192.0,90.0,Blue,2.0,Silver,1111.0,Anime,Muscular,Arcanist,976.0,Kryptonian,4206.0,904.0,Super Strength,5264.0,Electric Surge,10001.0,0.53
Krona,Villain,Steel,2361.0,125.0,198.0,32.0,Black,1.0,Pink,3172.0,Anime,Giant,God,1019.0,Kryptonian,882.0,944.0,Time Manipulation,1231.0,Eternal Firewave,11000.0,0.61
Doctor Psycho,Villain,Transparent,4316.0,58.0,176.0,77.0,Yellow,1.0,Black,1325.0,Anime,Fat,Saviors,974.0,Human,3807.0,902.0,Mind Reading,2908.0,Water Gun,10111.0,0.64
Orca,VIllain,Stone,10183.0,589.0,800.0,122.0,Red,1.0,Brown,826.0,Anime,Regular,Scientist,882.0,Giant,2076.0,833.0,Super Speed,6755.0,Fireburst Cannon,10010.0,0.5
The Anti-Monitor,Villain,Luminescent,5636.0,73.0,182.0,36.0,Glowing,2.0,Bald,2793.0,Anime,Athletic,Assassin,555.0,Alien,4797.0,555.0,Super Speed,3515.0,Grass Tempest,11111.0,0.66
Neferpitou,Villain,Metallic,8284.0,617.0,846.0,136.0,Green,2.0,Gold,836.0,Anime,Giant,Drunken,1212.0,Giant,134.0,1102.0,Mind Reading,5008.0,Grass Tempest,10011.0,0.53
Glitched Netherbyte,Villain,Draconish,12587.0,486.0,711.0,45.0,White,0.0,Silver,2239.0,Anime,Giant,Warrior,1010.0,Giant,934.0,936.0,Flying,6222.0,Electric Nova,10101.0,0.8
Zamasu,Villain,Transparent,7564.0,105.0,168.0,84.0,Yellow,0.0,Green,1192.0,Anime,Muscular,Cult Leader,629.0,Saiyan,3410.0,617.0,Super Strength,4613.0,Fire Fist,10111.0,0.38
Sinister Doombringer,VillaIn,Transparent,12699.0,50.0,159.0,112.0,Yellow,0.0,Brown,915.0,Anime,Slim,Captain,906.0,Undead,2439.0,855.0,Flying,6777.0,Grass Surge,10111.0,0.5
Absorbing Man,Villain,Scaly,2764.0,97.0,195.0,34.0,Blue,2.0,Silver,2997.0,Anime,Muscular,Leader,974.0,Alien,2797.0,902.0,Flying,1341.0,Fire Fist,10001.0,0.5
Foolkiller,VillaIn,Normal,6152.0,82.0,201.0,41.0,Brown,2.0,Black,2479.0,Anime,Muscular,Warrior,947.0,Saiyan,4949.0,894.0,Super Speed,2803.0,Electric Nova,10000.0,0.6
Angel Devil,VillaIn,Stone,9320.0,85.0,155.0,123.0,Red,0.0,Purple,836.0,Anime,Normal,Arcanist,1184.0,Alien,872.0,1077.0,Teleportation,6558.0,Grass Surge,10010.0,0.55
Vile Voidcaller,Villain,Stone,14554.0,106.0,182.0,98.0,Red,0.0,Green,1057.0,Anime,Giant,Hero,614.0,Kryptonian,4378.0,602.0,Flying,6839.0,Water Fury,10010.0,0.68
Zamasu,Villain,Transparent,7564.0,105.0,168.0,84.0,Yellow,0.0,Green,1192.0,Anime,Muscular,Cult Leader,629.0,Saiyan,3410.0,617.0,Super Strength,4613.0,Fire Fist,10111.0,0.38
Dormammu,Villain,Hairy,7906.0,105.0,154.0,135.0,Blood,1.0,Bald,768.0,Anime,Giant,Mage,567.0,Saiyan,114.0,567.0,Teleportation,6833.0,Electric Nova,10010.0,0.64
Foolkiller,VillaIn,Normal,6152.0,82.0,201.0,41.0,Brown,2.0,Black,2479.0,Anime,Muscular,Warrior,947.0,Saiyan,4949.0,894.0,Super Speed,2803.0,Electric Nova,10000.0,0.6
Encrypted Overlord,VillaIn,Luminescent,8742.0,113.0,236.0,80.0,Glowing,1.0,Blonde,1291.0,Anime,Athletic,Captain,84.0,Alien,4413.0,94.0,Super Speed,6166.0,Grass blade,11111.0,0.48
The Batman Who Laughs,Villain,Transparent,10234.0,50.0,159.0,67.0,Yellow,1.0,Green,1514.0,Anime,Muscular,Saviors,590.0,Saiyan,1564.0,590.0,Teleportation,6967.0,Water Fury,10111.0,0.7
Malevolent Lich,Villain,Metallic,2431.0,61.0,192.0,77.0,Green,2.0,Pink,1329.0,Fantasy Realm,Regular,Cult Leader,1029.0,Undead,3457.0,953.0,Super Strength,1067.0,Grass Surge,10011.0,0.51
Doctor T.O. Morrow,VillaIn,Luminescent,8815.0,107.0,178.0,48.0,Glowing,0.0,Brown,2173.0,Fantasy Realm,Muscular,Hero,907.0,Saiyan,1361.0,856.0,Super Strength,4607.0,Eternal Firewave,11111.0,0.57
Malware Neuro-Lancer,Villain,Wooden,4736.0,87.0,245.0,111.0,Pink,2.0,Gold,912.0,Fantasy Realm,Normal,Scientist,1240.0,Alien,3974.0,1128.0,Super Speed,4538.0,Water Gun,11010.0,0.83
Magellan,Villain,Stone,11266.0,137.0,206.0,40.0,Red,1.0,Bald,2503.0,Fantasy Realm,Giant,Leader,624.0,Kryptonian,3683.0,612.0,Super Speed,6371.0,Fire Fist,10010.0,0.64
Cursed Sorcerer,VIllain,Hairy,10203.0,102.0,234.0,109.0,Blood,1.0,Purple,1054.0,Fantasy Realm,Giant,Cult Leader,1223.0,Alien,1988.0,1112.0,Teleportation,5791.0,Electric Storm,10010.0,0.72
Towa,Villain,Stone,16376.0,87.0,205.0,81.0,Red,1.0,White,1264.0,Fantasy Realm,Athletic,Arcanist,738.0,Kryptonian,2416.0,710.0,Teleportation,8458.0,Water Vortex,10010.0,0.77
Scarecrow,Villain,Steel,1335.0,90.0,208.0,73.0,Black,0.0,Pink,1378.0,Fantasy Realm,Athletic,Arcanist,1028.0,Saiyan,2735.0,952.0,Mind Reading,686.0,Eternal Firewave,11000.0,0.47
The Thinker,Villain,Transparent,7849.0,57.0,179.0,123.0,Yellow,0.0,Pink,845.0,Fantasy Realm,Fat,Cult Leader,1029.0,Undead,3538.0,953.0,Time Manipulation,4647.0,Water Vortex,10111.0,0.59
Mad Pierrot,Villain,Stone,9702.0,75.0,174.0,76.0,Red,2.0,White,1401.0,Fantasy Realm,Slim,Scientist,708.0,Human,4061.0,695.0,Time Manipulation,6642.0,Electric Surge,10010.0,0.68
Lust,VIllain,Luminescent,9515.0,519.0,856.0,63.0,Glowing,1.0,Blonde,1678.0,Fantasy Realm,Giant,Captain,85.0,Giant,2383.0,95.0,Super Strength,5319.0,Grass Surge,11111.0,0.55
Juggernaut,Villain,Steel,5411.0,139.0,195.0,99.0,Black,2.0,Pink,1049.0,Fantasy Realm,Athletic,Leader,1034.0,Alien,304.0,958.0,Mind Reading,2739.0,Grass Tempest,11000.0,0.61
Vandal Savage,Villain,Scaly,7708.0,80.0,174.0,134.0,Blue,1.0,Black,746.0,Fantasy Realm,Giant,Saviors,983.0,Kryptonian,3983.0,911.0,Super Strength,4784.0,Grass Surge,10001.0,0.44
Hydro-Man,VIllain,Normal,12057.0,110.0,188.0,42.0,Brown,1.0,Black,2641.0,Fantasy Realm,Muscular,Hero,939.0,Kryptonian,958.0,886.0,Time Manipulation,8226.0,Fire Fist,10000.0,0.52
Encrypted Glitch,Villain,Normal,8626.0,110.0,219.0,138.0,Brown,2.0,Silver,735.0,Fantasy Realm,Normal,Brewer,1026.0,Alien,4054.0,950.0,Super Speed,4542.0,Eternal Firewave,10000.0,0.39
Zebra,VIllain,Stone,2243.0,76.0,157.0,47.0,Red,0.0,Black,2214.0,Fantasy Realm,Regular,Hero,979.0,Undead,1322.0,907.0,Mind Reading,1558.0,Grass Tempest,10010.0,0.61
Doctor Light,VIllain,Normal,6557.0,50.0,196.0,20.0,Brown,1.0,Pink,5116.0,Fantasy Realm,Muscular,Warrior,1038.0,Saiyan,2360.0,962.0,Time Manipulation,4690.0,Grass Tempest,10000.0,0.55
Eneru,Villain,Draconish,9212.0,79.0,196.0,24.0,White,1.0,Fire-like,4304.0,Fantasy Realm,Athletic,Warrior,1316.0,Saiyan,1800.0,1197.0,Time Manipulation,5409.0,Grass blade,10101.0,0.81
Solomon Grundy,Villain,Wooden,13279.0,515.0,746.0,129.0,Pink,2.0,Blonde,784.0,Fantasy Realm,Regular,God,69.0,Giant,1075.0,77.0,Mind Reading,6017.0,Water Vortex,11010.0,0.81
Sosuke Aizen,Villain,Hairy,13144.0,61.0,183.0,21.0,Blood,2.0,Black,4827.0,Fantasy Realm,Regular,Demon Lord,979.0,Undead,3415.0,907.0,Flying,9761.0,Electric Storm,10010.0,0.91
Black Dwarf,VIllain,Draconish,15546.0,79.0,177.0,94.0,White,2.0,Purple,1195.0,Fantasy Realm,Slim,Assassin,1214.0,Human,3870.0,1104.0,Time Manipulation,8897.0,Electric Nova,10101.0,0.78
Bartholomew Kuma,VillaIn,Scaly,15862.0,50.0,227.0,57.0,Blue,0.0,White,1771.0,Fantasy Realm,Giant,Leader,747.0,Alien,1698.0,719.0,Super Strength,9638.0,Electric Nova,10001.0,0.6
Lobo,Villain,Steel,14427.0,76.0,143.0,46.0,Black,2.0,Green,2229.0,Fantasy Realm,Muscular,Cult Leader,589.0,Saiyan,2314.0,589.0,Mind Reading,7756.0,Fire Fist,11000.0,0.74
Buggy the Clown,VillaIn,Metallic,10620.0,75.0,190.0,39.0,Green,1.0,Blonde,2573.0,Fantasy Realm,Slim,Scientist,106.0,Human,707.0,116.0,Super Strength,6948.0,Grass Tempest,10011.0,0.56
Corrupt Virus,VIllain,Transparent,6730.0,700.0,865.0,50.0,Yellow,1.0,Purple,2020.0,Fantasy Realm,Giant,Hero,1232.0,Giant,1058.0,1120.0,Flying,3602.0,Fireburst Cannon,10111.0,0.55
Malevolent Dark Mage,Villain,Luminescent,2038.0,106.0,169.0,102.0,Glowing,2.0,Purple,986.0,Fantasy Realm,Giant,Thief,1221.0,Alien,1300.0,1110.0,Flying,1349.0,Electric Storm,11111.0,0.55
Psycho-Pirate,VillaIn,Scaly,4733.0,66.0,158.0,44.0,Blue,1.0,Purple,2292.0,Fantasy Realm,Regular,Arcanist,1201.0,Human,1432.0,1092.0,Teleportation,3696.0,Electric Surge,10001.0,12.0
Savage Necromancer,Villain,Luminescent,9083.0,125.0,167.0,78.0,Glowing,1.0,Black,1334.0,Cyberverse,Athletic,Scientist,991.0,Kryptonian,909.0,918.0,Time Manipulation,4916.0,Electric Nova,11111.0,0.62
Glitched Dataphage,Villain,Scaly,8909.0,677.0,821.0,108.0,Blue,0.0,Green,956.0,Cyberverse,Regular,Mage,620.0,Giant,868.0,608.0,Time Manipulation,6800.0,Electric Nova,10001.0,0.4
Terrax,VIllain,Steel,2410.0,68.0,182.0,123.0,Black,1.0,Blonde,886.0,Cyberverse,Normal,Demon Lord,116.0,Human,864.0,127.0,Super Strength,1877.0,Grass blade,11000.0,0.45
Mastermind,Villain,Metallic,1002.0,55.0,175.0,31.0,Green,1.0,Pink,3232.0,Cyberverse,Slim,Scientist,1004.0,Undead,2394.0,930.0,Super Strength,665.0,Grass blade,10011.0,0.55
Malware AI Tyrant,VillaIn,Transparent,1837.0,465.0,759.0,39.0,Yellow,1.0,Purple,2582.0,Cyberverse,Regular,Demon Lord,1189.0,Giant,4083.0,1081.0,Time Manipulation,1079.0,Grass blade,10111.0,0.6
Sinister Warlock,Villain,Transparent,8981.0,86.0,195.0,55.0,Yellow,0.0,Green,1871.0,Cyberverse,Muscular,Arcanist,595.0,Alien,1654.0,595.0,Super Speed,4508.0,Fireburst Cannon,10111.0,0.48
Yomi,Villain,Transparent,12861.0,76.0,164.0,62.0,Yellow,2.0,Green,1616.0,Cyberverse,Normal,Assassin,616.0,Human,2010.0,604.0,Flying,7233.0,Eternal Firewave,10111.0,0.57
Lucci,Villain,Hairy,4472.0,54.0,153.0,59.0,Blood,2.0,Brown,1726.0,Cyberverse,Athletic,Assassin,921.0,Human,2350.0,869.0,Mind Reading,3273.0,Electric Nova,10010.0,0.79
Cheetah,VillaIn,Draconish,12033.0,85.0,204.0,103.0,White,2.0,Blonde,1030.0,Cyberverse,Regular,Scientist,88.0,Undead,1403.0,98.0,Flying,6256.0,Grass blade,10101.0,0.62
Boros,VIllain,Metallic,12627.0,586.0,776.0,64.0,Green,0.0,Silver,1573.0,Cyberverse,Giant,Scientist,933.0,Giant,3400.0,881.0,Super Strength,9599.0,Water Vortex,10011.0,0.68
Sinister Necromancer,Villain,Draconish,7472.0,688.0,897.0,76.0,White,2.0,Bald,1437.0,Cyberverse,Regular,Drunken,540.0,Giant,3455.0,540.0,Super Strength,4798.0,Grass Tempest,10101.0,0.67
Silvermane,VIllain,Wooden,3842.0,562.0,794.0,114.0,Pink,0.0,Blonde,936.0,Cyberverse,Giant,Warrior,105.0,Giant,1131.0,115.0,Teleportation,2986.0,Water Gun,11010.0,0.64
Cursed Dreadlord,VillaIn,Normal,4829.0,105.0,194.0,129.0,Brown,1.0,Brown,794.0,Cyberverse,Athletic,Assassin,881.0,Kryptonian,3387.0,832.0,Teleportation,2855.0,Water Fury,10000.0,0.49
Fin Fang Foom,Villain,Scaly,7741.0,686.0,804.0,39.0,Blue,2.0,Pink,2590.0,Cyberverse,Regular,Warrior,1042.0,Giant,3354.0,965.0,Time Manipulation,3412.0,Grass Surge,10001.0,0.63
Sandman,Villain,Wooden,9271.0,552.0,868.0,113.0,Pink,2.0,Bald,888.0,Cyberverse,Regular,Arcanist,546.0,Giant,4239.0,546.0,Mind Reading,4833.0,Eternal Firewave,11010.0,0.63
Annihilus,Villain,Steel,1903.0,429.0,900.0,30.0,Black,0.0,Silver,3334.0,Cyberverse,Giant,Scientist,984.0,Giant,571.0,912.0,Super Speed,1353.0,Grass Surge,11000.0,0.64
Nimrod,VillaIn,Stone,8176.0,131.0,208.0,117.0,Red,2.0,Pink,917.0,Cyberverse,Muscular,Captain,1046.0,Alien,695.0,969.0,Teleportation,4987.0,Water Gun,10010.0,0.73
Gilgamesh,VillaIn,Stone,8719.0,641.0,832.0,127.0,Red,1.0,Pink,794.0,Cyberverse,Regular,Cult Leader,1022.0,Giant,2579.0,947.0,Flying,4311.0,Eternal Firewave,10010.0,0.5
Zeldris,VillaIn,Steel,2677.0,86.0,202.0,39.0,Black,2.0,Gold,2580.0,Cyberverse,Muscular,Demon Lord,1249.0,Saiyan,3556.0,1136.0,Flying,1209.0,Water Fury,11000.0,0.87
Rider,Villain,Hairy,5746.0,76.0,178.0,34.0,Blood,1.0,White,2960.0,Cyberverse,Regular,Scientist,684.0,Undead,1237.0,671.0,Time Manipulation,4416.0,Water Fury,10010.0,0.87
Baron Zemo,Villain,Scaly,11541.0,77.0,188.0,59.0,Blue,2.0,Green,1714.0,Cyberverse,Muscular,Thief,620.0,Saiyan,3294.0,608.0,Super Speed,7001.0,Electric Nova,10001.0,0.63
Corrupt Null-Code,Villain,Scaly,17416.0,59.0,142.0,112.0,Blue,0.0,Black,917.0,Cyberverse,Slim,Assassin,945.0,Undead,2820.0,892.0,Teleportation,9321.0,Water Gun,10001.0,0.62
Zodiac,Villain,Wooden,5225.0,586.0,762.0,113.0,Pink,2.0,Gold,913.0,Cyberverse,Giant,Demon Lord,1263.0,Giant,65.0,1149.0,Super Speed,3264.0,Fire Fist,11010.0,0.65
